date,open,high,low,close,volume
2020-12-30,3513.79,3574.21,3512.31,3574.13,267871999.99999997
2020-12-31,3581.45,3646.75,3581.36,3640.64,365748000.0
2021-01-04,3632.69,3659.17,3608.34,3643.36,435466000.0
2021-01-05,3627.65,3683.36,3620.56,3683.36,472337000.0
2021-01-06,3688.95,3736.65,3670.54,3736.65,451660999.99999994
2021-01-07,3750.88,3808.07,3729.99,3808.07,429181000.00000006
2021-01-08,3815.57,3833.86,3752.09,3788.32,415856000.00000006
2021-01-11,3794.83,3849.68,3763.15,3776.53,474510000.00000006
2021-01-12,3764.65,3906.12,3764.65,3906.12,481759000.0
2021-01-13,3914.0,3931.95,3844.28,3873.23,552738000.0
2021-01-14,3863.1,3866.95,3800.79,3811.22,508689000.00000006
2021-01-15,3825.54,3866.01,3789.48,3817.93,556352000.0
2021-01-18,3807.99,3873.45,3796.43,3849.4,422484000.0
2021-01-19,3855.75,3862.11,3792.59,3808.69,427471000.0
2021-01-20,3813.91,3838.31,3790.54,3814.65,343723000.0
2021-01-21,3833.78,3874.67,3812.81,3850.06,367302000.0
2021-01-22,3851.13,3862.89,3823.33,3846.39,382595000.0
2021-01-25,3843.49,3903.19,3828.75,3898.15,373365000.0
2021-01-26,3878.25,3878.25,3809.66,3813.29,295844000.0
2021-01-27,3818.42,3831.62,3790.81,3818.27,287061000.0
2021-01-28,3771.79,3779.41,3720.12,3735.03,300412000.0
2021-01-29,3758.89,3767.01,3675.49,3713.25,327423000.0
2021-02-01,3712.78,3747.73,3699.2,3746.37,294890000.0
2021-02-02,3751.74,3774.06,3731.52,3771.47,288587000.0
2021-02-03,3768.71,3796.43,3747.38,3775.72,316092000.0
2021-02-04,3764.43,3820.34,3759.43,3801.62,331638000.0
2021-02-05,3819.8,3876.68,3808.17,3840.77,415837000.0
2021-02-08,3856.94,3896.54,3835.1,3890.47,333399000.0
2021-02-09,3900.86,3952.94,3871.79,3952.83,327401000.0
2021-02-10,3967.68,4039.23,3967.36,4028.53,389586000.0
2021-02-18,4097.87,4110.18,3996.63,4014.32,512031000.00000006
2021-02-19,3994.83,4023.88,3956.98,4014.46,428997000.0
2021-02-22,4020.01,4020.01,3879.48,3881.87,587264000.0
2021-02-23,3854.16,3942.09,3854.16,3897.72,434556000.00000006
2021-02-24,3902.36,3910.01,3766.6,3805.47,393439000.0
2021-02-25,3844.62,3878.21,3818.71,3851.03,466889999.99999994
2021-02-26,3768.9,3819.04,3753.44,3756.86,415731000.00000006
2021-03-01,3793.37,3795.05,3747.58,3787.87,336577000.0
2021-03-02,3812.35,3812.35,3689.01,3718.77,352162000.0
2021-03-03,3710.26,3818.07,3708.23,3817.41,365796000.0
2021-03-04,3769.97,3781.28,3686.09,3708.66,363737000.0
2021-03-05,3655.91,3721.28,3627.29,3688.68,361376000.0
2021-03-08,3713.46,3732.78,3571.42,3573.43,417530000.0
2021-03-09,3570.26,3595.19,3489.97,3509.61,423441000.0
2021-03-10,3563.56,3572.37,3528.32,3532.05,280963000.0
2021-03-11,3554.68,3633.77,3554.68,3625.31,310562000.0
2021-03-12,3647.51,3647.51,3600.39,3632.58,351397000.0
2021-03-15,3620.04,3627.31,3539.49,3566.88,374888000.0
2021-03-16,3579.01,3608.11,3556.62,3599.16,283940000.0
2021-03-17,3588.23,3616.94,3552.49,3590.83,262296000.0
2021-03-18,3598.85,3619.33,3586.5,3605.6,234069000.0
2021-03-19,3565.09,3573.06,3496.38,3512.02,346813000.0
2021-03-22,3516.66,3558.94,3511.72,3538.43,263934000.0
2021-03-23,3541.33,3542.82,3482.59,3516.36,253109000.0
2021-03-24,3507.55,3528.73,3457.44,3466.04,256398000.0
2021-03-25,3454.46,3479.13,3439.51,3463.87,232617999.99999997
2021-03-26,3483.69,3539.23,3480.33,3529.73,248108000.0
2021-03-29,3543.25,3563.4,3510.41,3537.71,282058000.0
2021-03-30,3541.38,3582.02,3531.63,3577.24,257790000.0
2021-03-31,3573.86,3573.86,3518.17,3539.37,299853000.0
2021-04-01,3547.46,3586.36,3545.09,3582.65,213577000.0
2021-04-02,3592.88,3616.8,3583.04,3616.76,233967000.0
2021-04-06,3624.8,3624.8,3581.76,3594.71,179745000.0
2021-04-07,3593.17,3593.17,3537.06,3558.47,228000000.0
2021-04-08,3541.06,3582.91,3533.32,3573.04,194735000.0
2021-04-09,3564.66,3565.22,3504.49,3514.11,196859000.0
2021-04-12,3505.71,3520.73,3465.65,3477.07,248550000.0
2021-04-13,3483.01,3505.39,3448.57,3461.46,210742999.99999997
2021-04-14,3469.4,3484.06,3442.23,3469.17,195003000.0
2021-04-15,3456.55,3456.55,3399.76,3431.49,212627000.0
2021-04-16,3445.09,3456.72,3411.1,3448.1,186881000.0
2021-04-19,3449.05,3515.88,3426.82,3513.4,271935000.0
2021-04-20,3496.81,3532.79,3491.89,3510.12,211766000.0
2021-04-21,3493.79,3524.54,3488.49,3516.1,207501000.00000003
2021-04-22,3521.98,3524.71,3477.06,3487.43,226791000.0
2021-04-23,3487.12,3533.23,3482.86,3524.02,205523999.99999997
2021-04-26,3540.53,3548.21,3462.16,3467.66,258632000.00000003
2021-04-27,3469.98,3482.6,3450.02,3476.3,208042000.0
2021-04-28,3457.17,3473.04,3440.2,3473.04,224513000.0
2021-04-29,3483.1,3519.83,3468.62,3517.21,314805000.0
2021-04-30,3518.86,3522.61,3471.38,3491.19,340266000.0
2021-05-06,3475.05,3510.4,3443.31,3449.94,299334000.0
2021-05-07,3457.91,3470.52,3402.08,3406.31,300925000.0
2021-05-10,3410.01,3416.03,3371.13,3399.98,280489000.0
2021-05-11,3380.63,3443.36,3371.47,3437.71,249357000.00000003
2021-05-12,3423.42,3456.07,3421.66,3447.86,236896999.99999997
2021-05-13,3418.58,3435.45,3395.81,3413.89,218827000.0
2021-05-14,3426.43,3504.65,3406.71,3503.04,345272000.0
2021-05-17,3502.74,3556.49,3502.21,3539.91,301651000.0
2021-05-18,3543.11,3550.08,3520.67,3537.7,237826000.00000003
2021-05-19,3531.79,3531.79,3501.38,3511.47,238066000.0
2021-05-20,3514.43,3530.49,3496.52,3522.45,238271999.99999997
2021-05-21,3532.87,3544.27,3475.26,3481.86,206446000.0
2021-05-24,3482.99,3499.45,3457.29,3497.75,229865000.0
2021-05-25,3505.81,3645.07,3505.63,3641.29,441829000.0
2021-05-26,3656.34,3678.07,3643.98,3657.19,345594000.0
2021-05-27,3645.48,3709.0,3628.96,3664.94,298791000.0
2021-05-28,3663.88,3689.25,3630.57,3659.3,286828000.0
2021-05-31,3652.89,3652.89,3615.42,3650.22,263284000.0
2021-06-01,3641.97,3652.95,3608.2,3650.9,281615000.0
2021-06-02,3661.94,3665.92,3604.78,3622.4,279754000.0
2021-06-03,3620.79,3637.0,3589.23,3591.16,260201000.00000003
2021-06-04,3574.3,3655.92,3573.7,3612.7,288576000.0
2021-06-07,3610.89,3613.28,3579.01,3601.11,256982000.00000003
2021-06-08,3597.94,3634.82,3558.46,3580.28,260796999.99999997
2021-06-09,3575.49,3599.62,3572.36,3587.53,272969000.0
2021-06-10,3588.14,3634.92,3582.16,3607.68,286576000.0
2021-06-11,3610.14,3611.25,3564.65,3576.78,407297000.0
2021-06-15,3570.4,3579.09,3513.13,3528.67,375475000.0
2021-06-16,3525.75,3532.85,3480.41,3486.29,316293000.0
2021-06-17,3477.47,3503.55,3467.58,3481.6,294464000.0
2021-06-18,3475.55,3488.26,3426.03,3454.59,361193000.0
2021-06-21,3440.74,3455.56,3410.4,3431.25,304569000.0
2021-06-22,3444.75,3469.81,3437.95,3464.71,326259000.0
2021-06-23,3469.28,3496.44,3460.69,3471.34,295645000.0
